11900104 1655 N16W05 B            5864 CAO 41 13 140 9001 4.3 9001 4.3 647 4HOLL
11900104 1911 N15W07 B            5864 CAI 41  9 140 9001 4.3 9001 4.3 620 3PALE
11900105 1005 N15W13 B            5864 DAI 36 10 340 9001 4.4 9001 4.3 597 3SVTO
11900105 1530 N16W18 B            5864 DAI 37  9 270 9001 4.3 9001 4.3 656 3RAMY
11900105 1550 N13W18 B            5864 DAC 28  9 330 9001 4.3 9001 4.3 452 3BOUL
11900105 1752 N15W19 B            5864 DKO 50 10 280 9001 4.3 9001 4.3 647 3HOLL
11900105 1906 N14W19 B            5864 DAI 50 10 230 9001 4.3 9001 4.3 620 3PALE
11900106 0037 N14W22 B            5864 DKI 31  9 250 9001 4.4 9001 4.3 580 3LEAR
11900106 0745 N14W26 B            5864 DKI 33  9 400 9001 4.3 9001 4.3 597 4SVTO
11900106 1245 N16W29 B            5864 DAI 42 10 450 9001 4.3 9001 4.3 656 3RAMY
11900106 1655 N13W32 B            5864 DAI 15  9 180 9001 4.3 9001 4.3 452 2BOUL
11900106 1930 N13W34 B            5864 DAI 30 10 280 9001 4.2 9001 4.3 620 3PALE
11900107 0030 N14W36 B            5864 DAI 18 10 290 9001 4.3 9001 4.3 580 3LEAR
11900107 0255 N13W39 B            5864 DAI  9  7 220 9001 4.2 9001 4.3 874 1CULG
11900107 0925 N15W42 B            5864 DKI 19 10 350 9001 4.2 9001 4.3 597 2SVTO
11900107 1435 N14W45 B            5864 DAO 20 10 300 9001 4.2 9001 4.3 656 3RAMY
11900107 1600 N15W45 B            5864 EAI 21 11 290 9001 4.2 9001 4.3 647 3HOLL
11900107 1706 N15W45 B            5864 DSI 16 10 200 9001 4.3 9001 4.3 452 2BOUL
11900109 1547 N16W75 B            5864 DAO  2 10 180 9001 4.0 9001 4.3 452 1BOUL
11900109 1820 N16W70 B            5864 DKO  3 10 340 9001 4.4 9001 4.3 620 2PALE
